业务对象,业务字段,对应实体类型,对应属性或关系,数据类型,单值或多值,标准单位,是否必填,是否区分产品版本,是否区分有效时间,允许值或枚举,冲突判断规则,默认处理建议,来源优先级,是否需要人工确认
产品,产品名称,Product,product_name,文本,单值,,是,否,否,,标准化名称相同为重复；同一业务ID下名称不同需审核,保留旧值并提示核对,待甲方确认,是
产品,产品型号,Product,product_model,文本,单值,,是,是,是,,同一实体同版本型号不同为冲突；型号可用于实体链接,人工选择关联或新建实体,待甲方确认,是
产品,产品版本,Product,product_version,文本,单值,,否,是,是,,版本不同视为更新而非直接冲突,按版本分别保留,待甲方确认,是
规格,最大并发用户数,Specification,max_concurrent_users,整数,单值,人,否,是,是,,同实体同版本且有效期重叠时不同值为冲突,人工选择保留旧值或使用新值,待甲方确认,是
规格,支持操作系统,Specification,supported_os,枚举,多值,,否,是,是,Windows|Linux|macOS|Android|iOS,已有成员为重复；新增合法成员为补全,标记为补全,待甲方确认,是
规格,产品能力,Specification,product_capability,文本,多值,,否,是,是,,标准化后相同为重复；新增成员为补全,标记为补全,待甲方确认,是
产品,上线时间,Product,launch_date,日期,单值,,否,是,是,,同版本有效时间重叠时日期不同为冲突,暂缓并核对来源,待甲方确认,是
规格,重量,Specification,weight,数值,单值,kg,否,是,是,,先换算到kg；换算后相同为重复，否则按版本和有效期判断,人工确认；容差待甲方确定,待甲方确认,是
规格,部署方式,Specification,deployment_mode,枚举,多值,,否,是,是,on-premises|private-cloud|public-cloud|hybrid,已有成员为重复；新增合法成员为补全,标记为补全,待甲方确认,是
规格,兼容对象,Specification,compatible_with,文本或关系,多值,,否,是,是,,同一兼容对象为重复；新增对象为补全；明确互斥时为关系冲突,补全或人工审核,待甲方确认,是
